date,time,brightness,altitude,azimuth,satellite,distance to flare centre,brightness at flare centre,sun altitude,city,country,latitude,longitude,
Mar 6, 18:05:50,-7.6,43°,170° (S),Iridium 41,4 km (W),-7.9,-14°,Kinshasa,Congo,4.3,15.28,
Mar 7, 17:19:27,-9.0,54°,187° (S),Iridium 82,2 km (W),-9.1,-3°,Kinshasa,Congo,4.3,15.28,
Mar 7, 17:44:41,0.2,48°,181° (S),Iridium 39,36 km (W),-8.1,-9°,Kinshasa,Congo,4.3,15.28,
Mar 7, 18:00:14,-2.3,44°,169° (S),Iridium 15,17 km (E),-8.0,-13°,Kinshasa,Congo,4.3,15.28,
Mar 10, 03:53:00,-3.0,37°,350° (N),Iridium 52,16 km (W),-7.7,-19°,Kinshasa,Congo,4.3,15.28,
Mar 10, 17:46:56,-0.4,49°,178° (S),Iridium 15,31 km (W),-8.0,-10°,Kinshasa,Congo,4.3,15.28,
Mar 11, 03:47:04,-2.8,35°,349° (N),Iridium 10,17 km (W),-7.6,-21°,Kinshasa,Congo,4.3,15.28,
Mar 12, 03:41:07,-1.1,34°,351° (N),Iridium 13,26 km (E),-7.6,-22°,Kinshasa,Congo,4.3,15.28,
Mar 12, 17:18:01,-5.9,54°,187° (S),Iridium 39,6 km (W),-8.2,-3°,Kinshasa,Congo,4.3,15.28,
Mar 6, 22:26:35,-5.2,40°,356° (N),Iridium 86,7 km (E),-7.8,-16°,Bangkok,Thailand,13.75,100.5,
Mar 7, 12:19:02,-2.7,46°,169° (SSE),Iridium 98,17 km (W),-8.0,-13°,Bangkok,Thailand,13.75,100.5,
Mar 12, 21:55:20,1.0,29°,357° (N),Iridium 90,51 km (E),-7.3,-23°,Bangkok,Thailand,13.75,100.5,
Mar 8, 01:11:14,-0.4,33°,6° (N),Iridium 83,33 km (E),-7.4,-16°,Buenos Aires,Argentina,34.58,58.37,
Mar 10, 00:59:24,-0.9,28°,6° (N),Iridium 84,29 km (E),-7.1,-18°,Buenos Aires,Argentina,34.58,58.37,
Mar 11, 00:53:33,0.2,26°,7° (N),Iridium 12,42 km (E),-7.0,-19°,Buenos Aires,Argentina,34.58,58.37,
Mar 12, 00:47:42,-4.5,24°,5° (N),Iridium 86,10 km (E),-6.9,-20°,Buenos Aires,Argentina,34.58,58.37,
Mar 6, 17:53:41,-5.1,45°,165° (SSE),Iridium 98,7 km (E),-8.0,-14°,Dakar,Senegal,14.67,17.47,
Mar 7, 17:48:08,-2.0,46°,166° (SSE),Iridium 18,19 km (E),-8.1,-13°,Dakar,Senegal,14.67,17.47,
Mar 10, 17:34:51,-2.1,51°,175° (S),Iridium 18,18 km (W),-8.1,-9°,Dakar,Senegal,14.67,17.47,
Mar 12, 03:35:11,0.6,29°,353° (N),Iridium 12,47 km (W),-7.4,-21°,Dakar,Senegal,14.67,17.47,
Mar 8, 04:54:25,0.6,30°,12° (NNE),Iridium 90,44 km (E),-7.2,-15°,Paris,France,48.8,2.33,
Mar 9, 04:48:40,0.9,28°,12° (NNE),Iridium 53,51 km (E),-7.0,-15°,Paris,France,48.8,2.33,
Mar 10, 04:42:51,-0.1,26°,12° (NNE),Iridium 54,39 km (E),-6.9,-16°,Paris,France,48.8,2.33,
Mar 11, 04:36:51,-6.7,25°,11° (N),Iridium 83,6 km (W),-6.8,-17°,Paris,France,48.8,2.33,
Mar 11, 18:17:16,-5.1,57°,173° (S),Iridium 98,7 km (W),-8.2,-5°,Paris,France,48.8,2.33,
Mar 11, 20:27:32,-1.5,9°,3° (N),Iridium 70,66 km (E),-5.8,-26°,Paris,France,48.8,2.33,
Mar 12, 04:31:04,-5.5,23°,12° (NNE),Iridium 56,9 km (E),-6.7,-17°,Paris,France,48.8,2.33,
Mar 12, 20:21:06,-0.9,11°,3° (N),Iridium 64,45 km (W),-6.0,-25°,Paris,France,48.8,2.33,
Mar 9, 01:06:07,-5.3,38°,353° (N),Iridium 52,7 km (E),-7.7,-18°,Georgetown,Guyana,6.75,58.25,
Mar 10, 01:00:11,-7.5,36°,352° (N),Iridium 10,3 km (E),-7.7,-20°,Georgetown,Guyana,6.75,58.25,
Mar 11, 00:54:15,0.6,35°,354° (N),Iridium 13,44 km (E),-7.6,-21°,Georgetown,Guyana,6.75,58.25,
Mar 11, 00:56:43,0.3,34°,348° (NNW),Iridium 90,42 km (W),-7.7,-20°,Georgetown,Guyana,6.75,58.25,
Mar 12, 14:43:59,-5.0,51°,178° (S),Iridium 41,8 km (W),-8.0,-7°,Georgetown,Guyana,6.75,58.25,
Mar 8, 17:19:49,-2.1,56°,166° (SSE),Iridium 81,18 km (W),-8.3,-9°,Belgrade,Serbia,44.87,20.53,
Mar 10, 03:29:42,0.0,27°,10° (N),Iridium 90,39 km (E),-7.0,-17°,Belgrade,Serbia,44.87,20.53,
Mar 10, 17:11:24,-3.8,56°,170° (S),Iridium 98,11 km (W),-8.2,-7°,Belgrade,Serbia,44.87,20.53,
Mar 11, 03:52:35,-6.5,39°,10° (N),Iridium 40,7 km (E),-9.0,-12°,Belgrade,Serbia,44.87,20.53,
Mar 11, 19:03:42,-0.5,12°,5° (N),Iridium 14,54 km (E),-6.1,-26°,Belgrade,Serbia,44.87,20.53,
Mar 12, 03:16:51,-3.9,22°,10° (N),Iridium 84,13 km (E),-6.7,-18°,Belgrade,Serbia,44.87,20.53,
Mar 12, 18:57:07,-4.4,15°,5° (N),Iridium 66,12 km (E),-6.3,-25°,Belgrade,Serbia,44.87,20.53,
Mar 13, 03:11:00,-6.6,21°,10° (N),Iridium 12,1 km (E),-6.6,-19°,Belgrade,Serbia,44.87,20.53,
Mar 6, 13:31:35,-8.0,47°,176° (S),Iridium 39,3 km (W),-8.1,-10°,Guayaquil,Ecuador,2.17,79.93,
Mar 6, 13:47:21,-0.6,42°,168° (SSE),Iridium 81,30 km (E),-7.9,-14°,Guayaquil,Ecuador,2.17,79.93,
Mar 8, 13:38:28,-4.4,45°,171° (S),Iridium 41,8 km (E),-7.9,-12°,Guayaquil,Ecuador,2.17,79.93,
Mar 9, 12:51:27,-7.6,55°,191° (S),Iridium 82,1 km (E),-9.0,0°,Guayaquil,Ecuador,2.17,79.93,
Mar 9, 13:34:01,-2.1,47°,175° (S),Iridium 81,18 km (W),-8.0,-11°,Guayaquil,Ecuador,2.17,79.93,
Mar 11, 23:24:42,-7.5,35°,349° (N),Iridium 52,2 km (E),-7.6,-21°,Guayaquil,Ecuador,2.17,79.93,
Mar 12, 23:18:47,-7.2,32°,348° (NNW),Iridium 10,4 km (E),-7.5,-23°,Guayaquil,Ecuador,2.17,79.93,
Mar 7, 03:13:54,-2.6,33°,14° (NNE),Iridium 12,17 km (W),-7.2,-12°,St. Petersburg,Russia,59.93,30.3,
Mar 9, 03:02:00,-0.4,30°,14° (NNE),Iridium 52,35 km (W),-7.1,-12°,St. Petersburg,Russia,59.93,30.3,
Mar 9, 04:17:32,-5.6,23°,63° (ENE),Iridium 67,16 km (W),-6.1,-3°,St. Petersburg,Russia,59.93,30.3,
Mar 10, 02:47:10,-0.6,25°,16° (NNE),Iridium 84,36 km (E),-6.7,-14°,St. Petersburg,Russia,59.93,30.3,
Mar 10, 04:02:07,-5.9,20°,60° (ENE),Iridium 21,1 km (E),-5.9,-4°,St. Petersburg,Russia,59.93,30.3,
Mar 11, 02:41:13,-3.2,24°,16° (NNE),Iridium 12,16 km (E),-6.7,-14°,St. Petersburg,Russia,59.93,30.3,
Mar 11, 03:37:21,-1.1,16°,54° (NE),Iridium 72,78 km (E),-5.6,-7°,St. Petersburg,Russia,59.93,30.3,
Mar 11, 03:46:41,-5.6,18°,57° (ENE),Iridium 75,8 km (E),-5.7,-6°,St. Petersburg,Russia,59.93,30.3,
Mar 11, 19:08:38,0.8,9°,3° (N),Iridium 14,81 km (E),-5.6,-24°,St. Petersburg,Russia,59.93,30.3,
Mar 12, 02:35:16,-0.2,23°,15° (NNE),Iridium 86,46 km (W),-6.6,-14°,St. Petersburg,Russia,59.93,30.3,
Mar 12, 03:12:27,0.7,13°,48° (NE),Iridium 75,166 km (E),-5.4,-10°,St. Petersburg,Russia,59.93,30.3,
Mar 12, 03:21:51,-1.1,14°,51° (NE),Iridium 70,89 km (E),-5.5,-9°,St. Petersburg,Russia,59.93,30.3,
Mar 12, 03:31:17,-1.4,16°,54° (NE),Iridium 62,80 km (W),-5.6,-8°,St. Petersburg,Russia,59.93,30.3,
Mar 12, 18:52:47,-2.9,12°,3° (N),Iridium 65,30 km (E),-5.9,-22°,St. Petersburg,Russia,59.93,30.3,
Mar 12, 19:02:35,0.8,8°,3° (N),Iridium 66,101 km (W),-5.6,-23°,St. Petersburg,Russia,59.93,30.3,
Mar 13, 02:29:22,-1.0,22°,15° (NNE),Iridium 52,38 km (W),-6.5,-15°,St. Petersburg,Russia,59.93,30.3,
Mar 13, 02:57:00,-5.3,11°,46° (NE),Iridium 62,0 km (E),-5.3,-11°,St. Petersburg,Russia,59.93,30.3,
Mar 13, 03:06:24,-2.0,13°,48° (NE),Iridium 14,85 km (W),-5.4,-10°,St. Petersburg,Russia,59.93,30.3,
Mar 13, 03:15:48,0.6,14°,51° (NE),Iridium 64,188 km (W),-5.5,-9°,St. Petersburg,Russia,59.93,30.3,
Mar 7, 09:17:40,-1.0,53°,174° (S),Iridium 39,25 km (W),-8.3,-8°,Tokyo,Japan,35.67,139.75,
Mar 9, 09:25:12,-1.8,54°,169° (SSE),Iridium 98,21 km (W),-8.2,-9°,Tokyo,Japan,35.67,139.75,
Mar 9, 19:39:54,0.2,31°,3° (N),Iridium 52,41 km (W),-7.3,-17°,Tokyo,Japan,35.67,139.75,
Mar 10, 09:17:11,1.0,53°,164° (SSE),Iridium 15,45 km (E),-8.2,-8°,Tokyo,Japan,35.67,139.75,
